year,temperature
2013,21.17531532
2012,20.85164968
2011,21.11660088
2010,20.79940129
2009,21.61167921
2008,20.65233295
2007,21.15234024
2006,21.51231495
2005,20.9114818
2004,21.07899761
2003,20.59278641
2002,21.69715008
2001,20.65191281
2000,20.73225302
1999,21.49855164
1998,20.94991343
1997,20.67581539
1996,20.17274676
1995,21.39710599
1994,20.30110532
1993,20.30789119
1992,20.98836307
1991,20.60143447
1990,20.74741587
1989,20.14260032
1988,21.3233038
1987,20.06885648
1986,20.15347798
1985,20.66758764
1984,20.33031068
1983,20.51401475
1982,19.96994782
1981,21.03385275
1980,20.09860417
1979,20.12640199
1978,20.83745696
1977,20.12810194
1976,20.00706738
1975,19.84702791
1974,20.754839
1973,20.05442477
1972,19.92339594
1971,20.67077308
1970,20.23608333
1969,20.21401834
1968,19.67588552
1967,20.77262905
1966,19.93208796
1965,19.82301727
